station_id,station_name,lat,lon,date,precip_mm,humidity_pct,temp_c,wind_speed_ms
52.01.01.1001,"Gerung, Lombok Barat",-8.6808590122,116.1238341827,2026-06-23,2.3,75.0,29.2,4.9
52.01.01.1001,"Gerung, Lombok Barat",-8.6808590122,116.1238341827,2026-06-24,2.7,81.1,26.2,3.5
52.01.01.1001,"Gerung, Lombok Barat",-8.6808590122,116.1238341827,2026-06-25,0.6,80.1,25.4,3.1
52.02.01.1001,"Praya, Lombok Tengah",-8.7020187733,116.2771266104,2026-06-23,0.7,75.8,29.5,4.5
52.02.01.1001,"Praya, Lombok Tengah",-8.7020187733,116.2771266104,2026-06-24,0.4,81.8,26.1,3.5
52.02.01.1001,"Praya, Lombok Tengah",-8.7020187733,116.2771266104,2026-06-25,0.8,81.2,25.2,2.8
52.03.01.2001,"Keruak, Lombok Timur",-8.7719724132,116.5195340418,2026-06-23,0.4,74.2,29.2,4.8
52.03.01.2001,"Keruak, Lombok Timur",-8.7719724132,116.5195340418,2026-06-24,0.2,76.6,26.1,3.8
52.03.01.2001,"Keruak, Lombok Timur",-8.7719724132,116.5195340418,2026-06-25,0.6,78.2,25.2,2.8
52.04.02.2001,"Lunyuk, Sumbawa",-8.8851013471,117.2465415641,2026-06-23,1.5,84.2,29.2,3.6
52.04.02.2001,"Lunyuk, Sumbawa",-8.8851013471,117.2465415641,2026-06-24,0.1,85.1,26.9,1.7
52.04.02.2001,"Lunyuk, Sumbawa",-8.8851013471,117.2465415641,2026-06-25,1.6,87.4,26.1,1.2
52.05.01.1001,"Dompu, Dompu",-8.5364219202,118.4864722038,2026-06-23,0.8,84.0,29.5,4.0
52.05.01.1001,"Dompu, Dompu",-8.5364219202,118.4864722038,2026-06-24,0.0,84.2,26.6,3.1
52.05.01.1001,"Dompu, Dompu",-8.5364219202,118.4864722038,2026-06-25,2.2,88.1,26.0,2.0
52.07.01.2001,"Jereweh, Sumbawa Barat",-8.8375983416,116.7995555192,2026-06-23,0.3,75.8,28.8,4.3
52.07.01.2001,"Jereweh, Sumbawa Barat",-8.8375983416,116.7995555192,2026-06-24,0.4,76.9,26.9,3.4
52.07.01.2001,"Jereweh, Sumbawa Barat",-8.8375983416,116.7995555192,2026-06-25,2.6,82.0,25.8,2.3
52.07.02.2001,"Taliwang, Sumbawa Barat",-8.8087263768,116.82004815,2026-06-23,0.5,76.0,29.0,4.6
52.07.02.2001,"Taliwang, Sumbawa Barat",-8.8087263768,116.82004815,2026-06-24,0.4,78.4,26.6,3.4
52.07.02.2001,"Taliwang, Sumbawa Barat",-8.8087263768,116.82004815,2026-06-25,2.6,83.0,26.0,2.4
52.08.01.2001,"Tanjung, Lombok Utara",-8.3582916602,116.1590043031,2026-06-23,2.2,81.0,29.0,2.9
52.08.01.2001,"Tanjung, Lombok Utara",-8.3582916602,116.1590043031,2026-06-24,2.4,80.6,26.2,1.2
52.08.01.2001,"Tanjung, Lombok Utara",-8.3582916602,116.1590043031,2026-06-25,1.9,80.9,25.1,0.8
52.71.02.1001,"Mataram, Kota Mataram",-8.6019901537,116.1028662665,2026-06-23,2.1,73.5,29.2,4.8
52.71.02.1001,"Mataram, Kota Mataram",-8.6019901537,116.1028662665,2026-06-24,2.6,80.1,26.4,3.2
52.71.02.1001,"Mataram, Kota Mataram",-8.6019901537,116.1028662665,2026-06-25,0.4,76.8,25.2,2.7
52.72.03.1001,"Asakota, Kota Bima",-8.4458878867,118.7232494506,2026-06-23,0.4,74.5,29.8,3.8
52.72.03.1001,"Asakota, Kota Bima",-8.4458878867,118.7232494506,2026-06-24,0.0,79.6,26.5,2.6
52.72.03.1001,"Asakota, Kota Bima",-8.4458878867,118.7232494506,2026-06-25,2.0,83.9,25.8,2.0
