lat,lon,year,month,precip_mm
-8.75,116.25,2010,1,254.2358045578003
-8.75,116.75,2010,1,247.2156434059143
-8.75,117.25,2010,1,476.1551580429077
-8.75,117.75,2010,1,373.62831592559814
-8.75,118.25,2010,1,331.2858738899231
-8.75,118.75,2010,1,234.57850074768066
-8.25,116.25,2010,1,392.24802827835083
-8.25,117.75,2010,1,764.8165502548218
-7.75,117.25,2010,1,341.2330410480499
-8.75,116.25,2010,2,148.6819589138031
-8.75,116.75,2010,2,90.14617156982422
-8.75,117.25,2010,2,215.59370136260986
-8.75,117.75,2010,2,219.79496955871582
-8.75,118.25,2010,2,144.38531827926636
-8.75,118.75,2010,2,129.81752347946167
-8.25,116.25,2010,2,118.58043098449707
-8.25,117.75,2010,2,256.7855100631714
-7.75,117.25,2010,2,188.54929041862488
-8.75,116.25,2010,3,101.47789669036865
-8.75,116.75,2010,3,116.97808647155762
-8.75,117.25,2010,3,158.04003047943115
-8.75,117.75,2010,3,161.9867525100708
-8.75,118.25,2010,3,187.84595584869385
-8.75,118.75,2010,3,223.2179069519043
-8.25,116.25,2010,3,165.44482898712158
-8.25,117.75,2010,3,425.337947845459
-7.75,117.25,2010,3,206.9182231426239
-8.75,116.25,2010,4,261.33368253707886
-8.75,116.75,2010,4,169.68226861953735
-8.75,117.25,2010,4,277.44259309768677
-8.75,117.75,2010,4,222.9087176322937
-8.75,118.25,2010,4,201.2927885055542
-8.75,118.75,2010,4,246.52128314971924
-8.25,116.25,2010,4,143.80087161064148
-8.25,117.75,2010,4,342.7866849899292
-7.75,117.25,2010,4,276.0662569999695
-8.75,116.25,2010,5,413.8262948989868
-8.75,116.75,2010,5,332.8988733291626
-8.75,117.25,2010,5,273.90697288513184
-8.75,117.75,2010,5,142.19241905212402
-8.75,118.25,2010,5,227.83862781524658
-8.75,118.75,2010,5,236.06204223632812
-8.25,116.25,2010,5,339.8678903579712
-8.25,117.75,2010,5,425.90814304351807
-7.75,117.25,2010,5,239.89276671409607
-8.75,116.25,2010,6,50.76114749908447
-8.75,116.75,2010,6,32.40220928192139
-8.75,117.25,2010,6,38.42934608459473
-8.75,117.75,2010,6,38.44265031814575
-8.75,118.25,2010,6,49.193918228149414
-8.75,118.75,2010,6,60.354997634887695
-8.25,116.25,2010,6,47.51853275299072
-8.25,117.75,2010,6,134.3181438446045
-7.75,117.25,2010,6,190.65745902061462
-8.75,116.25,2010,7,237.78453063964844
-8.75,116.75,2010,7,81.76863479614258
-8.75,117.25,2010,7,310.3232307434082
-8.75,117.75,2010,7,132.49628829956055
-8.75,118.25,2010,7,97.76647567749023
-8.75,118.75,2010,7,147.18608283996582
-8.25,116.25,2010,7,93.91421127319336
-8.25,117.75,2010,7,186.55958080291748
-7.75,117.25,2010,7,39.31300449371338
-8.75,116.25,2010,8,31.99109649658203
-8.75,116.75,2010,8,24.18783950805664
-8.75,117.25,2010,8,28.127909183502197
-8.75,117.75,2010,8,10.688372135162354
-8.75,118.25,2010,8,12.777455806732178
-8.75,118.75,2010,8,12.755529403686523
-8.25,116.25,2010,8,25.15851402282715
-8.25,117.75,2010,8,41.82905960083008
-7.75,117.25,2010,8,9.158376216888428
-8.75,116.25,2010,9,55.854801416397095
-8.75,116.75,2010,9,120.12436151504517
-8.75,117.25,2010,9,113.92781066894531
-8.75,117.75,2010,9,106.6168885231018
-8.75,118.25,2010,9,93.6560173034668
-8.75,118.75,2010,9,67.33204507827759
-8.25,116.25,2010,9,135.62331581115723
-8.25,117.75,2010,9,229.7643222808838
-7.75,117.25,2010,9,33.61878848075867
-8.75,116.25,2010,10,191.32164192199707
-8.75,116.75,2010,10,189.41183376312256
-8.75,117.25,2010,10,203.6310977935791
-8.75,117.75,2010,10,70.95837378501892
-8.75,118.25,2010,10,159.7184934616089
-8.75,118.75,2010,10,54.230712890625
-8.25,116.25,2010,10,263.12494468688965
-8.25,117.75,2010,10,228.09353637695312
-7.75,117.25,2010,10,173.91121864318848
-8.75,116.25,2010,11,281.25712394714355
-8.75,116.75,2010,11,297.09683990478516
-8.75,117.25,2010,11,478.26072216033936
-8.75,117.75,2010,11,130.4873242378235
-8.75,118.25,2010,11,292.1520118713379
-8.75,118.75,2010,11,126.45064353942871
-8.25,116.25,2010,11,301.457239151001
-8.25,117.75,2010,11,409.5289840698242
-7.75,117.25,2010,11,164.70922756195068
-8.75,116.25,2010,12,487.90892601013184
-8.75,116.75,2010,12,427.17424154281616
-8.75,117.25,2010,12,642.3437371253967
-8.75,117.75,2010,12,409.4380087852478
-8.75,118.25,2010,12,442.88821029663086
-8.75,118.75,2010,12,375.8321008682251
-8.25,116.25,2010,12,379.4452614784241
-8.25,117.75,2010,12,748.580207824707
-7.75,117.25,2010,12,800.2862422466278
-8.75,116.25,2011,1,276.4980092048645
-8.75,116.75,2011,1,239.1895306110382
-8.75,117.25,2011,1,417.9520468711853
-8.75,117.75,2011,1,374.2716360092163
-8.75,118.25,2011,1,351.7292766571045
-8.75,118.75,2011,1,265.2953038215637
-8.25,116.25,2011,1,275.6032748222351
-8.25,117.75,2011,1,861.4120054244995
-7.75,117.25,2011,1,367.15668869018555
-8.75,116.25,2011,2,180.57667016983032
-8.75,116.75,2011,2,139.69190883636475
-8.75,117.25,2011,2,278.1349103450775
-8.75,117.75,2011,2,320.13174057006836
-8.75,118.25,2011,2,280.3448324203491
-8.75,118.75,2011,2,213.28375720977783
-8.25,116.25,2011,2,187.88999271392822
-8.25,117.75,2011,2,458.70068359375
-7.75,117.25,2011,2,287.9258575439453
-8.75,116.25,2011,3,200.41622066497803
-8.75,116.75,2011,3,210.89426445960999
-8.75,117.25,2011,3,271.10684299468994
-8.75,117.75,2011,3,345.51807832717896
-8.75,118.25,2011,3,277.7875232696533
-8.75,118.75,2011,3,339.7873115539551
-8.25,116.25,2011,3,310.43831157684326
-8.25,117.75,2011,3,615.7492084503174
-7.75,117.25,2011,3,305.41146898269653
-8.75,116.25,2011,4,322.9094476699829
-8.75,116.75,2011,4,238.63610553741455
-8.75,117.25,2011,4,390.7498359680176
-8.75,117.75,2011,4,327.3482012748718
-8.75,118.25,2011,4,346.0677080154419
-8.75,118.75,2011,4,437.96470069885254
-8.25,116.25,2011,4,230.6344699859619
-8.25,117.75,2011,4,583.3854103088379
-7.75,117.25,2011,4,281.61450481414795
-8.75,116.25,2011,5,153.50408744812012
-8.75,116.75,2011,5,131.59979057312012
-8.75,117.25,2011,5,124.07607746124268
-8.75,117.75,2011,5,95.99847507476807
-8.75,118.25,2011,5,128.2315092086792
-8.75,118.75,2011,5,137.6745891571045
-8.25,116.25,2011,5,141.90799808502197
-8.25,117.75,2011,5,232.60186100006104
-7.75,117.25,2011,5,131.8559799194336
-8.75,116.25,2011,6,19.637582302093506
-8.75,116.75,2011,6,15.650222301483154
-8.75,117.25,2011,6,18.634079456329346
-8.75,117.75,2011,6,21.12847638130188
-8.75,118.25,2011,6,26.554167985916138
-8.75,118.75,2011,6,30.56465721130371
-8.25,116.25,2011,6,24.843257427215576
-8.25,117.75,2011,6,51.2404580116272
-7.75,117.25,2011,6,6.0254340171813965
-8.75,116.25,2011,7,23.02290964126587
-8.75,116.75,2011,7,6.454348802566528
-8.75,117.25,2011,7,29.207553386688232
-8.75,117.75,2011,7,16.77559995651245
-8.75,118.25,2011,7,18.55580234527588
-8.75,118.75,2011,7,20.86123752593994
-8.25,116.25,2011,7,11.376270771026611
-8.25,117.75,2011,7,16.20204496383667
-7.75,117.25,2011,7,0
-8.75,116.25,2011,8,5.3766069412231445
-8.75,116.75,2011,8,5.45942485332489
-8.75,117.25,2011,8,16.05409264564514
-8.75,117.75,2011,8,7.484822511672974
-8.75,118.25,2011,8,9.876363754272461
-8.75,118.75,2011,8,8.414503574371338
-8.25,116.25,2011,8,8.85326623916626
-8.25,117.75,2011,8,28.92422580718994
-7.75,117.25,2011,8,0
-8.75,116.25,2011,9,5.6685426235198975
-8.75,116.75,2011,9,11.374377727508545
-8.75,117.25,2011,9,12.867476224899292
-8.75,117.75,2011,9,23.10466480255127
-8.75,118.25,2011,9,22.22286891937256
-8.75,118.75,2011,9,12.512359142303467
-8.25,116.25,2011,9,16.224992752075195
-8.25,117.75,2011,9,35.160232067108154
-7.75,117.25,2011,9,0
-8.75,116.25,2011,10,50.60085439682007
-8.75,116.75,2011,10,40.948607444763184
-8.75,117.25,2011,10,66.98528480529785
-8.75,117.75,2011,10,25.013248443603516
-8.75,118.25,2011,10,54.55510425567627
-8.75,118.75,2011,10,27.080174446105957
-8.25,116.25,2011,10,52.0070858001709
-8.25,117.75,2011,10,78.4072494506836
-7.75,117.25,2011,10,50.32631325721741
-8.75,116.25,2011,11,179.5211374759674
-8.75,116.75,2011,11,167.27916145324707
-8.75,117.25,2011,11,296.8812165260315
-8.75,117.75,2011,11,76.6348648071289
-8.75,118.25,2011,11,170.76692056655884
-8.75,118.75,2011,11,56.870959758758545
-8.25,116.25,2011,11,145.5960075855255
-8.25,117.75,2011,11,255.5652732849121
-7.75,117.25,2011,11,134.6516661643982
-8.75,116.25,2011,12,289.19268131256104
-8.75,116.75,2011,12,240.29451608657837
-8.75,117.25,2011,12,360.90404081344604
-8.75,117.75,2011,12,218.68163657188416
-8.75,118.25,2011,12,240.95169734954834
-8.75,118.75,2011,12,210.97645807266235
-8.25,116.25,2011,12,202.751118183136
-8.25,117.75,2011,12,420.05905294418335
-7.75,117.25,2011,12,391.76319885253906
-8.75,116.25,2012,1,373.6231529712677
-8.75,116.75,2012,1,262.9766390323639
-8.75,117.25,2012,1,484.41012811660767
-8.75,117.75,2012,1,408.5188355445862
-8.75,118.25,2012,1,371.6549873352051
-8.75,118.75,2012,1,221.76505637168884
-8.25,116.25,2012,1,339.33157300949097
-8.25,117.75,2012,1,818.4576864242554
-7.75,117.25,2012,1,558.3877921104431
-8.75,116.25,2012,2,189.36458206176758
-8.75,116.75,2012,2,131.86091899871826
-8.75,117.25,2012,2,203.08536577224731
-8.75,117.75,2012,2,255.13112211227417
-8.75,118.25,2012,2,205.46606540679932
-8.75,118.75,2012,2,147.60880088806152
-8.25,116.25,2012,2,199.81960678100586
-8.25,117.75,2012,2,309.8506746292114
-7.75,117.25,2012,2,223.57871842384338
-8.75,116.25,2012,3,236.07227659225464
-8.75,116.75,2012,3,199.71989965438843
-8.75,117.25,2012,3,237.99295091629028
-8.75,117.75,2012,3,315.35349893569946
-8.75,118.25,2012,3,250.19842767715454
-8.75,118.75,2012,3,274.5194387435913
-8.25,116.25,2012,3,352.7975778579712
-8.25,117.75,2012,3,603.7652244567871
-7.75,117.25,2012,3,542.526415348053
-8.75,116.25,2012,4,85.66967582702637
-8.75,116.75,2012,4,71.17000007629395
-8.75,117.25,2012,4,106.37103271484375
-8.75,117.75,2012,4,87.92137718200684
-8.75,118.25,2012,4,82.9874496459961
-8.75,118.75,2012,4,90.84063720703125
-8.25,116.25,2012,4,64.99830436706543
-8.25,117.75,2012,4,118.61782932281494
-7.75,117.25,2012,4,56.857834339141846
-8.75,116.25,2012,5,143.93398189544678
-8.75,116.75,2012,5,94.47671413421631
-8.75,117.25,2012,5,60.1875901222229
-8.75,117.75,2012,5,46.06514358520508
-8.75,118.25,2012,5,100.23334312438965
-8.75,118.75,2012,5,108.75872039794922
-8.25,116.25,2012,5,109.14311408996582
-8.25,117.75,2012,5,170.94761085510254
-7.75,117.25,2012,5,99.36554908752441
-8.75,116.25,2012,6,16.77457857131958
-8.75,116.75,2012,6,13.610851049423218
-8.75,117.25,2012,6,16.755065441131592
-8.75,117.75,2012,6,21.13581371307373
-8.75,118.25,2012,6,27.60078525543213
-8.75,118.75,2012,6,34.94535827636719
-8.25,116.25,2012,6,19.49390697479248
-8.25,117.75,2012,6,51.14385414123535
-7.75,117.25,2012,6,26.753769874572754
-8.75,116.25,2012,7,19.656500101089478
-8.75,116.75,2012,7,6.201250076293945
-8.75,117.25,2012,7,26.19665241241455
-8.75,117.75,2012,7,15.138399839401245
-8.75,118.25,2012,7,15.39790415763855
-8.75,118.75,2012,7,23.228870630264282
-8.25,116.25,2012,7,8.724740982055664
-8.25,117.75,2012,7,15.67569637298584
-7.75,117.25,2012,7,0
