point_id,lat,lon,year,month,period,sms_cm_ewh
LAT-9.25_LON115.75,-9.25,115.75,2004,1,2004-01,
LAT-9.25_LON116.25,-9.25,116.25,2004,1,2004-01,
LAT-9.25_LON116.75,-9.25,116.75,2004,1,2004-01,
LAT-9.25_LON117.25,-9.25,117.25,2004,1,2004-01,
LAT-9.25_LON117.75,-9.25,117.75,2004,1,2004-01,
LAT-9.25_LON118.25,-9.25,118.25,2004,1,2004-01,
LAT-9.25_LON118.75,-9.25,118.75,2004,1,2004-01,
LAT-9.25_LON119.25,-9.25,119.25,2004,1,2004-01,
LAT-8.75_LON115.75,-8.75,115.75,2004,1,2004-01,
LAT-8.75_LON116.25,-8.75,116.25,2004,1,2004-01,33.84178922999289
LAT-8.75_LON116.75,-8.75,116.75,2004,1,2004-01,
LAT-8.75_LON117.25,-8.75,117.25,2004,1,2004-01,30.75281349289801
LAT-8.75_LON117.75,-8.75,117.75,2004,1,2004-01,
LAT-8.75_LON118.25,-8.75,118.25,2004,1,2004-01,
LAT-8.75_LON118.75,-8.75,118.75,2004,1,2004-01,28.19292668273371
LAT-8.75_LON119.25,-8.75,119.25,2004,1,2004-01,
LAT-8.25_LON115.75,-8.25,115.75,2004,1,2004-01,
LAT-8.25_LON116.25,-8.25,116.25,2004,1,2004-01,
LAT-8.25_LON116.75,-8.25,116.75,2004,1,2004-01,
LAT-8.25_LON117.25,-8.25,117.25,2004,1,2004-01,
LAT-8.25_LON117.75,-8.25,117.75,2004,1,2004-01,28.99353369858956
LAT-8.25_LON118.25,-8.25,118.25,2004,1,2004-01,
LAT-8.25_LON118.75,-8.25,118.75,2004,1,2004-01,
LAT-8.25_LON119.25,-8.25,119.25,2004,1,2004-01,
LAT-7.75_LON115.75,-7.75,115.75,2004,1,2004-01,
LAT-7.75_LON116.25,-7.75,116.25,2004,1,2004-01,
LAT-7.75_LON116.75,-7.75,116.75,2004,1,2004-01,
LAT-7.75_LON117.25,-7.75,117.25,2004,1,2004-01,
LAT-7.75_LON117.75,-7.75,117.75,2004,1,2004-01,
LAT-7.75_LON118.25,-7.75,118.25,2004,1,2004-01,
LAT-7.75_LON118.75,-7.75,118.75,2004,1,2004-01,
LAT-7.75_LON119.25,-7.75,119.25,2004,1,2004-01,
LAT-9.25_LON115.75,-9.25,115.75,2004,2,2004-02,
LAT-9.25_LON116.25,-9.25,116.25,2004,2,2004-02,
LAT-9.25_LON116.75,-9.25,116.75,2004,2,2004-02,
LAT-9.25_LON117.25,-9.25,117.25,2004,2,2004-02,
LAT-9.25_LON117.75,-9.25,117.75,2004,2,2004-02,
LAT-9.25_LON118.25,-9.25,118.25,2004,2,2004-02,
LAT-9.25_LON118.75,-9.25,118.75,2004,2,2004-02,
LAT-9.25_LON119.25,-9.25,119.25,2004,2,2004-02,
LAT-8.75_LON115.75,-8.75,115.75,2004,2,2004-02,
LAT-8.75_LON116.25,-8.75,116.25,2004,2,2004-02,42.43511438246433
LAT-8.75_LON116.75,-8.75,116.75,2004,2,2004-02,
LAT-8.75_LON117.25,-8.75,117.25,2004,2,2004-02,40.68060376677017
LAT-8.75_LON117.75,-8.75,117.75,2004,2,2004-02,
LAT-8.75_LON118.25,-8.75,118.25,2004,2,2004-02,
LAT-8.75_LON118.75,-8.75,118.75,2004,2,2004-02,35.47789828193599
LAT-8.75_LON119.25,-8.75,119.25,2004,2,2004-02,
LAT-8.25_LON115.75,-8.25,115.75,2004,2,2004-02,
LAT-8.25_LON116.25,-8.25,116.25,2004,2,2004-02,
LAT-8.25_LON116.75,-8.25,116.75,2004,2,2004-02,
LAT-8.25_LON117.25,-8.25,117.25,2004,2,2004-02,
LAT-8.25_LON117.75,-8.25,117.75,2004,2,2004-02,39.33498476332633
LAT-8.25_LON118.25,-8.25,118.25,2004,2,2004-02,
LAT-8.25_LON118.75,-8.25,118.75,2004,2,2004-02,
LAT-8.25_LON119.25,-8.25,119.25,2004,2,2004-02,
LAT-7.75_LON115.75,-7.75,115.75,2004,2,2004-02,
LAT-7.75_LON116.25,-7.75,116.25,2004,2,2004-02,
LAT-7.75_LON116.75,-7.75,116.75,2004,2,2004-02,
LAT-7.75_LON117.25,-7.75,117.25,2004,2,2004-02,
LAT-7.75_LON117.75,-7.75,117.75,2004,2,2004-02,
LAT-7.75_LON118.25,-7.75,118.25,2004,2,2004-02,
LAT-7.75_LON118.75,-7.75,118.75,2004,2,2004-02,
LAT-7.75_LON119.25,-7.75,119.25,2004,2,2004-02,
LAT-9.25_LON115.75,-9.25,115.75,2004,3,2004-03,
LAT-9.25_LON116.25,-9.25,116.25,2004,3,2004-03,
LAT-9.25_LON116.75,-9.25,116.75,2004,3,2004-03,
LAT-9.25_LON117.25,-9.25,117.25,2004,3,2004-03,
LAT-9.25_LON117.75,-9.25,117.75,2004,3,2004-03,
LAT-9.25_LON118.25,-9.25,118.25,2004,3,2004-03,
LAT-9.25_LON118.75,-9.25,118.75,2004,3,2004-03,
LAT-9.25_LON119.25,-9.25,119.25,2004,3,2004-03,
LAT-8.75_LON115.75,-8.75,115.75,2004,3,2004-03,
LAT-8.75_LON116.25,-8.75,116.25,2004,3,2004-03,41.599551939349034
LAT-8.75_LON116.75,-8.75,116.75,2004,3,2004-03,
LAT-8.75_LON117.25,-8.75,117.25,2004,3,2004-03,42.8369156558283
LAT-8.75_LON117.75,-8.75,117.75,2004,3,2004-03,
LAT-8.75_LON118.25,-8.75,118.25,2004,3,2004-03,
LAT-8.75_LON118.75,-8.75,118.75,2004,3,2004-03,37.37511811994735
LAT-8.75_LON119.25,-8.75,119.25,2004,3,2004-03,
LAT-8.25_LON115.75,-8.25,115.75,2004,3,2004-03,
LAT-8.25_LON116.25,-8.25,116.25,2004,3,2004-03,
LAT-8.25_LON116.75,-8.25,116.75,2004,3,2004-03,
LAT-8.25_LON117.25,-8.25,117.25,2004,3,2004-03,
LAT-8.25_LON117.75,-8.25,117.75,2004,3,2004-03,42.072616305658904
LAT-8.25_LON118.25,-8.25,118.25,2004,3,2004-03,
LAT-8.25_LON118.75,-8.25,118.75,2004,3,2004-03,
LAT-8.25_LON119.25,-8.25,119.25,2004,3,2004-03,
LAT-7.75_LON115.75,-7.75,115.75,2004,3,2004-03,
LAT-7.75_LON116.25,-7.75,116.25,2004,3,2004-03,
LAT-7.75_LON116.75,-7.75,116.75,2004,3,2004-03,
LAT-7.75_LON117.25,-7.75,117.25,2004,3,2004-03,
LAT-7.75_LON117.75,-7.75,117.75,2004,3,2004-03,
LAT-7.75_LON118.25,-7.75,118.25,2004,3,2004-03,
LAT-7.75_LON118.75,-7.75,118.75,2004,3,2004-03,
LAT-7.75_LON119.25,-7.75,119.25,2004,3,2004-03,
LAT-9.25_LON115.75,-9.25,115.75,2004,4,2004-04,
LAT-9.25_LON116.25,-9.25,116.25,2004,4,2004-04,
LAT-9.25_LON116.75,-9.25,116.75,2004,4,2004-04,
LAT-9.25_LON117.25,-9.25,117.25,2004,4,2004-04,
LAT-9.25_LON117.75,-9.25,117.75,2004,4,2004-04,
LAT-9.25_LON118.25,-9.25,118.25,2004,4,2004-04,
LAT-9.25_LON118.75,-9.25,118.75,2004,4,2004-04,
LAT-9.25_LON119.25,-9.25,119.25,2004,4,2004-04,
LAT-8.75_LON115.75,-8.75,115.75,2004,4,2004-04,
LAT-8.75_LON116.25,-8.75,116.25,2004,4,2004-04,36.170126589218775
LAT-8.75_LON116.75,-8.75,116.75,2004,4,2004-04,
LAT-8.75_LON117.25,-8.75,117.25,2004,4,2004-04,36.77857113345464
LAT-8.75_LON117.75,-8.75,117.75,2004,4,2004-04,
LAT-8.75_LON118.25,-8.75,118.25,2004,4,2004-04,
LAT-8.75_LON118.75,-8.75,118.75,2004,4,2004-04,32.411565492153166
LAT-8.75_LON119.25,-8.75,119.25,2004,4,2004-04,
LAT-8.25_LON115.75,-8.25,115.75,2004,4,2004-04,
LAT-8.25_LON116.25,-8.25,116.25,2004,4,2004-04,
LAT-8.25_LON116.75,-8.25,116.75,2004,4,2004-04,
LAT-8.25_LON117.25,-8.25,117.25,2004,4,2004-04,
LAT-8.25_LON117.75,-8.25,117.75,2004,4,2004-04,34.86440873821577
LAT-8.25_LON118.25,-8.25,118.25,2004,4,2004-04,
LAT-8.25_LON118.75,-8.25,118.75,2004,4,2004-04,
LAT-8.25_LON119.25,-8.25,119.25,2004,4,2004-04,
LAT-7.75_LON115.75,-7.75,115.75,2004,4,2004-04,
LAT-7.75_LON116.25,-7.75,116.25,2004,4,2004-04,
LAT-7.75_LON116.75,-7.75,116.75,2004,4,2004-04,
LAT-7.75_LON117.25,-7.75,117.25,2004,4,2004-04,
LAT-7.75_LON117.75,-7.75,117.75,2004,4,2004-04,
LAT-7.75_LON118.25,-7.75,118.25,2004,4,2004-04,
LAT-7.75_LON118.75,-7.75,118.75,2004,4,2004-04,
LAT-7.75_LON119.25,-7.75,119.25,2004,4,2004-04,
LAT-9.25_LON115.75,-9.25,115.75,2004,5,2004-05,
LAT-9.25_LON116.25,-9.25,116.25,2004,5,2004-05,
LAT-9.25_LON116.75,-9.25,116.75,2004,5,2004-05,
LAT-9.25_LON117.25,-9.25,117.25,2004,5,2004-05,
LAT-9.25_LON117.75,-9.25,117.75,2004,5,2004-05,
LAT-9.25_LON118.25,-9.25,118.25,2004,5,2004-05,
LAT-9.25_LON118.75,-9.25,118.75,2004,5,2004-05,
LAT-9.25_LON119.25,-9.25,119.25,2004,5,2004-05,
LAT-8.75_LON115.75,-8.75,115.75,2004,5,2004-05,
LAT-8.75_LON116.25,-8.75,116.25,2004,5,2004-05,33.100288940475835
LAT-8.75_LON116.75,-8.75,116.75,2004,5,2004-05,
LAT-8.75_LON117.25,-8.75,117.25,2004,5,2004-05,31.985625509523583
LAT-8.75_LON117.75,-8.75,117.75,2004,5,2004-05,
LAT-8.75_LON118.25,-8.75,118.25,2004,5,2004-05,
LAT-8.75_LON118.75,-8.75,118.75,2004,5,2004-05,27.938990483360907
LAT-8.75_LON119.25,-8.75,119.25,2004,5,2004-05,
LAT-8.25_LON115.75,-8.25,115.75,2004,5,2004-05,
LAT-8.25_LON116.25,-8.25,116.25,2004,5,2004-05,
LAT-8.25_LON116.75,-8.25,116.75,2004,5,2004-05,
LAT-8.25_LON117.25,-8.25,117.25,2004,5,2004-05,
LAT-8.25_LON117.75,-8.25,117.75,2004,5,2004-05,30.406795065479898
LAT-8.25_LON118.25,-8.25,118.25,2004,5,2004-05,
LAT-8.25_LON118.75,-8.25,118.75,2004,5,2004-05,
LAT-8.25_LON119.25,-8.25,119.25,2004,5,2004-05,
LAT-7.75_LON115.75,-7.75,115.75,2004,5,2004-05,
LAT-7.75_LON116.25,-7.75,116.25,2004,5,2004-05,
LAT-7.75_LON116.75,-7.75,116.75,2004,5,2004-05,
LAT-7.75_LON117.25,-7.75,117.25,2004,5,2004-05,
LAT-7.75_LON117.75,-7.75,117.75,2004,5,2004-05,
LAT-7.75_LON118.25,-7.75,118.25,2004,5,2004-05,
LAT-7.75_LON118.75,-7.75,118.75,2004,5,2004-05,
LAT-7.75_LON119.25,-7.75,119.25,2004,5,2004-05,
LAT-9.25_LON115.75,-9.25,115.75,2004,6,2004-06,
LAT-9.25_LON116.25,-9.25,116.25,2004,6,2004-06,
LAT-9.25_LON116.75,-9.25,116.75,2004,6,2004-06,
LAT-9.25_LON117.25,-9.25,117.25,2004,6,2004-06,
LAT-9.25_LON117.75,-9.25,117.75,2004,6,2004-06,
LAT-9.25_LON118.25,-9.25,118.25,2004,6,2004-06,
LAT-9.25_LON118.75,-9.25,118.75,2004,6,2004-06,
LAT-9.25_LON119.25,-9.25,119.25,2004,6,2004-06,
LAT-8.75_LON115.75,-8.75,115.75,2004,6,2004-06,
LAT-8.75_LON116.25,-8.75,116.25,2004,6,2004-06,31.16783774912356
LAT-8.75_LON116.75,-8.75,116.75,2004,6,2004-06,
LAT-8.75_LON117.25,-8.75,117.25,2004,6,2004-06,29.459598581155145
LAT-8.75_LON117.75,-8.75,117.75,2004,6,2004-06,
LAT-8.75_LON118.25,-8.75,118.25,2004,6,2004-06,
LAT-8.75_LON118.75,-8.75,118.75,2004,6,2004-06,26.451747776746735
LAT-8.75_LON119.25,-8.75,119.25,2004,6,2004-06,
LAT-8.25_LON115.75,-8.25,115.75,2004,6,2004-06,
LAT-8.25_LON116.25,-8.25,116.25,2004,6,2004-06,
LAT-8.25_LON116.75,-8.25,116.75,2004,6,2004-06,
LAT-8.25_LON117.25,-8.25,117.25,2004,6,2004-06,
LAT-8.25_LON117.75,-8.25,117.75,2004,6,2004-06,28.42442567952475
LAT-8.25_LON118.25,-8.25,118.25,2004,6,2004-06,
LAT-8.25_LON118.75,-8.25,118.75,2004,6,2004-06,
LAT-8.25_LON119.25,-8.25,119.25,2004,6,2004-06,
LAT-7.75_LON115.75,-7.75,115.75,2004,6,2004-06,
LAT-7.75_LON116.25,-7.75,116.25,2004,6,2004-06,
LAT-7.75_LON116.75,-7.75,116.75,2004,6,2004-06,
LAT-7.75_LON117.25,-7.75,117.25,2004,6,2004-06,
LAT-7.75_LON117.75,-7.75,117.75,2004,6,2004-06,
LAT-7.75_LON118.25,-7.75,118.25,2004,6,2004-06,
LAT-7.75_LON118.75,-7.75,118.75,2004,6,2004-06,
LAT-7.75_LON119.25,-7.75,119.25,2004,6,2004-06,
LAT-9.25_LON115.75,-9.25,115.75,2004,7,2004-07,
LAT-9.25_LON116.25,-9.25,116.25,2004,7,2004-07,
LAT-9.25_LON116.75,-9.25,116.75,2004,7,2004-07,
LAT-9.25_LON117.25,-9.25,117.25,2004,7,2004-07,
LAT-9.25_LON117.75,-9.25,117.75,2004,7,2004-07,
LAT-9.25_LON118.25,-9.25,118.25,2004,7,2004-07,
LAT-9.25_LON118.75,-9.25,118.75,2004,7,2004-07,
LAT-9.25_LON119.25,-9.25,119.25,2004,7,2004-07,
LAT-8.75_LON115.75,-8.75,115.75,2004,7,2004-07,
LAT-8.75_LON116.25,-8.75,116.25,2004,7,2004-07,26.395125186866327
LAT-8.75_LON116.75,-8.75,116.75,2004,7,2004-07,
LAT-8.75_LON117.25,-8.75,117.25,2004,7,2004-07,24.922549891971784
LAT-8.75_LON117.75,-8.75,117.75,2004,7,2004-07,
LAT-8.75_LON118.25,-8.75,118.25,2004,7,2004-07,
LAT-8.75_LON118.75,-8.75,118.75,2004,7,2004-07,23.9230986709364
LAT-8.75_LON119.25,-8.75,119.25,2004,7,2004-07,
LAT-8.25_LON115.75,-8.25,115.75,2004,7,2004-07,
