location,kabupaten,lat,lon,period_start,period_end,displacement_mm,rate_mm_year,n_observations,coherence
Sumbawa_Kota,Sumbawa,-8.4911,117.4203,2020-01-01,2026-06-01,1.46,0.01,2519,0.51
Sumbawa_BatuHijau,Sumbawa Barat,-8.9833,116.85,2020-01-01,2026-06-01,26.56,0.13,2519,0.77
Sumbawa_Sekongkang,Sumbawa Barat,-8.95,116.7833,2020-01-01,2026-06-01,8.8,0.04,2519,0.59
Dompu_Kota,Dompu,-8.5364,118.4614,2020-01-01,2026-06-01,48.14,0.23,2519,0.98
Dompu_Kempo,Dompu,-8.4833,118.2667,2020-01-01,2026-06-01,13.25,0.06,2519,0.63
Bima_Kota,Bima,-8.5394,118.6869,2020-01-01,2026-06-01,4.39,0.02,2519,0.54
Bima_Woha,Bima,-8.6167,118.6333,2020-01-01,2026-06-01,11.04,0.05,2519,0.61
Bima_Sape,Bima,-8.5833,118.95,2020-01-01,2026-06-01,15.55,0.07,2519,0.66
Lombok_Utara_Tanjung,Lombok Utara,-8.3833,116.15,2020-01-01,2026-06-01,7.77,0.04,2519,0.58
Lombok_Utara_Gangga,Lombok Utara,-8.35,116.2833,2020-01-01,2026-06-01,-4.65,-0.02,2519,0.55
Sumbawa_Alas,Sumbawa,-8.5167,117.0167,2020-01-01,2026-06-01,-39.82,-0.19,2519,0.9
Sumbawa_Buer,Sumbawa Barat,-8.8833,116.8,2020-01-01,2026-06-01,15.02,0.07,2519,0.65
