"location","kabupaten","lat","lon","period_date","ndvi","ndwi","vegetation_status"
"Bima","Kab. Bima","-8.45738","118.81807","2023-01-01","0.9013","-0.7873","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2023-03-01","0.6478","-0.5789","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2023-04-01","0.4584","-0.3754","sedang"
"Bima","Kab. Bima","-8.45738","118.81807","2023-05-01","0.7718","-0.6852","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2023-06-01","0.7031","-0.6288","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2023-07-01","0.8236","-0.7487","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2023-08-01","0.5457","-0.4877","sedang"
"Bima","Kab. Bima","-8.45738","118.81807","2023-09-01","0.6191","-0.6024","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2023-10-01","0.6306","-0.5815","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2023-11-01","0.6737","-0.6179","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2023-12-01","0.8481","-0.7099","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2024-02-01","0.9246","-0.7873","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2024-04-01","0.9152","-0.7898","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2024-05-01","0.6478","-0.5754","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2024-06-01","0.9019","-0.8017","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2024-07-01","0.7399","-0.6615","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2024-08-01","0.6237","-0.5893","lebat"
"Bima","Kab. Bima","-8.45738","118.81807","2024-09-01","0.4748","-0.4749","sedang"
"Bima","Kab. Bima","-8.45738","118.81807","2024-10-01","0.459","-0.4434","sedang"
"Bima","Kab. Bima","-8.45738","118.81807","2024-11-01","0.4645","-0.3792","sedang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-01-01","0.3187","-0.4438","jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-03-01","0.1954","-0.1911","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-04-01","0.1305","-0.221","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-05-01","0.174","-0.2214","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-06-01","0.1334","-0.2421","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-07-01","0.1417","-0.25","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-08-01","0.155","-0.2084","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-09-01","0.1292","-0.2413","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-10-01","0.1366","-0.2383","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-11-01","0.1718","-0.311","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2023-12-01","0.3265","-0.3447","jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-02-01","0.2234","-0.1826","jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-04-01","0.1378","-0.2503","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-05-01","0.202","-0.2996","jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-06-01","0.1064","-0.1301","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-07-01","0.1372","-0.2238","sangat_jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-08-01","0.2956","-0.3177","jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-09-01","0.3634","-0.3677","jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-10-01","0.2049","-0.2523","jarang"
"Dompu","Kab. Dompu","-8.54535","118.4458","2024-11-01","0.2276","-0.2208","jarang"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-01-01","0.0714","0.1361","sangat_jarang"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-03-01","-0.0416","0.2503","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-04-01","-0.0792","0.2447","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-05-01","-0.1086","0.2527","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-06-01","-0.1231","0.3533","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-07-01","-0.0435","0.1378","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-08-01","-0.0703","0.2254","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-09-01","-0.0818","0.2006","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-10-01","-0.0438","0.105","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-11-01","-0.1017","0.1522","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2023-12-01","-0.0912","0.1591","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-02-01","-0.0783","0.278","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-04-01","-0.0655","0.1863","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-05-01","-0.0147","0.2156","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-06-01","-0.254","0.3909","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-07-01","-0.1907","0.4739","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-08-01","-0.1718","0.3985","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-09-01","-0.1023","0.2556","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-10-01","-0.0636","0.1286","non_vegetasi"
"Hu u Dompu","Kab. Dompu","-8.7712","118.2534","2024-11-01","-0.0643","0.1921","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-02-01","-0.0382","0.1675","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-03-01","0.1037","0.0806","sangat_jarang"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-04-01","-0.5242","0.685","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-05-01","-0.1868","0.4638","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-06-01","-0.3568","0.4152","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-07-01","-0.5366","0.7344","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-08-01","-0.3169","0.5307","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-09-01","-0.1638","0.3238","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-10-01","-0.1264","0.2097","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-11-01","-0.0639","0.0758","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2023-12-01","-0.1096","0.1965","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-01-01","-0.113","0.2814","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-02-01","-0.1349","0.2739","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-03-01","-0.2218","0.4778","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-04-01","-0.6045","0.756","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-05-01","-0.4133","0.7206","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-06-01","-0.4546","0.7416","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-07-01","-0.6023","0.7874","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-08-01","-0.5124","0.7332","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-09-01","-0.2195","0.3608","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-10-01","-0.0736","0.1288","non_vegetasi"
"Lombok Utara","Kab. Lombok Utara","-8.36536","116.15338","2024-11-01","-0.0459","0.1393","non_vegetasi"
"Sekongkang","Kab. Sumbawa Barat","-8.96924","116.81202","2023-03-01","0.0108","0.1065","sangat_jarang"
"Sekongkang","Kab. Sumbawa Barat","-8.96924","116.81202","2023-04-01","-0.2662","0.4545","non_vegetasi"
"Sekongkang","Kab. Sumbawa Barat","-8.96924","116.81202","2023-05-01","-0.0995","0.2398","non_vegetasi"
"Sekongkang","Kab. Sumbawa Barat","-8.96924","116.81202","2023-06-01","-0.0752","0.2385","non_vegetasi"
"Sekongkang","Kab. Sumbawa Barat","-8.96924","116.81202","2023-07-01","-0.0772","0.2159","non_vegetasi"
"Sekongkang","Kab. Sumbawa Barat","-8.96924","116.81202","2023-08-01","-0.0505","0.1555","non_vegetasi"
"Sekongkang","Kab. Sumbawa Barat","-8.96924","116.81202","2023-09-01","-0.0449","0.0577","non_vegetasi"
